"cca_id","company_name","sector","forecast_e","forecast_s","forecast_g","dynamic_model_ex_market_sector","m1_pct_return","m3_pct_return","m6_pct_return","y1_pct_return"
"97945","HD Supply Holdings, Inc.","Industrials","48.694","47.7458","50.1588","0.610496","-25.2235613648505","-29.3137809197178","-27.4282235564676","-34.4174797753535"
"97948","Healthcare Trust of America, Inc.","Real Estate","46.5549","45.9425","48.4643","-0.635327","-22.0295993157208","-19.8151346548117","-15.5940301399969","-11.3248268207071"
"97960","Helix Energy Solutions Group, Inc.","Energy","46.7513","46.5771","47.5584","0.774143","-75.558892335841","-82.9699029265031","-79.6526333532122","-79.2667883699731"
"97961","Helmerich & Payne, Inc.","Energy","46.098","47.1743","46.0334","-1.20754","-57.5766221143162","-64.9779574604379","-59.6020388843851","-70.0146478688767"
"97965","Henry Schein, Inc.","Health Care","47.1502","52.6553","45.6445","0.152175","-17.0987836216078","-24.2805620815798","-20.4409782260614","-15.9541017125421"
"97966","Herbalife Nutrition Ltd.","Consumer Staples","46.6465","46.3592","48.0838","-0.215934","-9.88868910203106","-38.8294096221292","-22.9793131581193","-44.9706730793718"
"97967","Herc Holdings, Inc.","Industrials","55.0005","49.0809","52.8121","0.333008","-44.2203551718952","-58.1937520665553","-56.00952521384","-47.5116153761729"
"97975","Hess Corp.","Energy","50.3704","52.4489","52.4117","0.785492","-40.3019321497362","-49.8003631820367","-44.32388971863","-43.6266165633968"
"97976","Hewlett-Packard Enterprise Co.","Information Technology","55.1698","52.7916","55.2086","0.508734","-23.2905606706474","-38.139104510392","-34.8354226548409","-34.9466250715098"
"97978","Hexcel Corp.","Industrials","48.7598","49.6407","50.3366","0.342301","-42.4570681904714","-49.1554064615322","-54.5122385286721","-45.7539291203578"
"97980","Highwoods Properties, Inc.","Real Estate","50.0886","46.2006","49.2784","0.228102","-21.0784597556249","-26.9193237916902","-19.6442087953619","-21.1322121287059"
"97981","Hill-Rom Holdings, Inc.","Health Care","45.8977","49.5613","48.9963","-1.0047","5.02264252857967","-11.1474840081394","-3.95481850589731","-4.14520670029997"
"97983","Hilton Grand Vacations, Inc.","Consumer Discretionary","45.1138","48.5769","48.4681","2.02699","-40.847594024437","-54.1435404779783","-50.7186324779027","-48.881602029193"
"97994","HollyFrontier Corp.","Energy","47.2558","49.0997","52.0826","-0.905265","-27.2267905107673","-51.2731460056142","-53.628542682539","-48.7576113248036"
"97995","Hologic, Inc.","Health Care","49.7372","49.6883","47.5068","-1.21531","-25.5094020396376","-32.7715661672547","-30.4813008265164","-27.4793696631846"
"97997","The Home Depot, Inc.","Consumer Discretionary","52.2029","52.2464","53.181","-1.04501","-13.6863121574493","-13.8997845370309","-18.4467015458439","-0.107249603797621"
"98000","Honeywell International, Inc.","Industrials","50.5894","49.4508","52.6661","0.0800506","-17.5000795442573","-23.9860028689661","-20.0834475336122","-14.0626470988243"
"98006","Horizon Therapeutics Plc","Health Care","46.0534","47.5144","49.0635","0.449528","-13.4424361264519","-18.1768214604818","8.77702273625827","12.0696257321621"
"98007","Hormel Foods Corp.","Consumer Staples","50.4453","54.3265","52.6067","-1.66352","12.1153432756322","3.92707191193842","7.75835840535919","6.35778829577895"
"98009","Service Properties Trust","Real Estate","45.6533","45.9281","45.4405","-0.321346","-70.1327874103998","-77.2854716448045","-78.1156143261546","-77.6203785154718"
"98011","Host Hotels & Resorts, Inc.","Real Estate","54.3205","51.7142","55.4843","0.0112509","-22.4216554169937","-39.4428572916495","-34.157926457987","-38.3858976004167"
"98015","HP, Inc.","Information Technology","57.2485","56.5393","60.1114","-0.541569","-15.7549416147151","-14.7710523650299","-6.62091992674453","-7.56526430734059"
"98016","H&R Block, Inc.","Consumer Discretionary","47.6151","48.9925","54.8585","-0.273419","-30.7552944535642","-39.042233682184","-38.733134529555","-38.3331159036821"
"98019","HubSpot, Inc.","Information Technology","49.2343","49.7137","52.3451","-0.768367","-25.7787245733699","-15.9684044519059","-12.1495701712725","-19.8664873810162"
"98020","Hudson Pacific Properties, Inc.","Real Estate","47.8328","45.755","48.6741","-0.601788","-20.4307612628516","-31.7796981438825","-22.7052055782714","-23.7524269804717"
"98023","Humana, Inc.","Health Care","52.2633","53.4995","56.0033","-1.02886","-1.57322101442043","-14.1518270068109","23.2531072028953","18.9663493243655"
"98024","Huntington Bancshares, Inc.","Financials","50.5737","50.4396","53.3118","-0.991506","-31.8897776782977","-44.5814008825145","-40.8626698467733","-32.0597535969055"
"98025","Huntington Ingalls Industries, Inc.","Industrials","45.9002","48.8209","48.0454","1.21674","-11.3463186305609","-27.0241629946105","-13.2024776960987","-10.5365767381784"
"98026","Huntsman Corp.","Materials","47.8268","49.4934","51.3928","0.393855","-22.9468263576906","-39.5948827228362","-36.84337235474","-33.664425049544"
"98028","Hyatt Hotels Corp.","Consumer Discretionary","45.4876","50.8359","48.9483","-1.86626","-37.4673966640308","-46.472533821434","-34.6629130495585","-33.3256559728954"
